"Trial.name","eswyt","eswyt.no","Occ","Loc_no","Country","Loc_desc","Cycle","CID","SID","Gen_name","Trait_no","Trait.name","Value","EMS","SE","Unit","cidsid"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",350899,274,"TOBA97/ATTILA",144,"GRAIN_YIELD",7.545,0.012,0.472,"t/ha","350899_274"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",350899,274,"TOBA97/ATTILA",144,"GRAIN_YIELD",8.133,0.184,0.679,"t/ha","350899_274"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",350902,90,"TOBA97/PASTOR",144,"GRAIN_YIELD",8.13,0.012,0.472,"t/ha","350902_90"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",350902,90,"TOBA97/PASTOR",144,"GRAIN_YIELD",7.154,0.184,0.679,"t/ha","350902_90"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",350902,92,"TOBA97/PASTOR",144,"GRAIN_YIELD",8.473,0.136,0.369,"t/ha","350902_92"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",350902,92,"TOBA97/PASTOR",144,"GRAIN_YIELD",9.901,0.195,0.442,"t/ha","350902_92"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",350902,93,"TOBA97/PASTOR",144,"GRAIN_YIELD",8.172,0.136,0.369,"t/ha","350902_93"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",350902,93,"TOBA97/PASTOR",144,"GRAIN_YIELD",9.779,0.195,0.442,"t/ha","350902_93"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",350926,340,"SAUAL",144,"GRAIN_YIELD",7.661,0.012,0.472,"t/ha","350926_340"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",350926,340,"SAUAL",144,"GRAIN_YIELD",6.883,0.184,0.679,"t/ha","350926_340"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",350926,350,"SAUAL",144,"GRAIN_YIELD",7.75,0.012,0.472,"t/ha","350926_350"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",350926,350,"SAUAL",144,"GRAIN_YIELD",7.81,0.184,0.679,"t/ha","350926_350"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",350926,353,"SAUAL",144,"GRAIN_YIELD",9.17,0.136,0.369,"t/ha","350926_353"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",350926,353,"SAUAL",144,"GRAIN_YIELD",10.014,0.195,0.442,"t/ha","350926_353"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",350926,355,"SAUAL #1",144,"GRAIN_YIELD",8.141,0.012,0.472,"t/ha","350926_355"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",350926,355,"SAUAL #1",144,"GRAIN_YIELD",8.247,0.184,0.679,"t/ha","350926_355"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",351237,82,"TILHI/PASTOR",144,"GRAIN_YIELD",7.917,0.136,0.369,"t/ha","351237_82"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",351237,82,"TILHI/PASTOR",144,"GRAIN_YIELD",9.149,0.195,0.442,"t/ha","351237_82"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",351237,84,"TILHI/PASTOR",144,"GRAIN_YIELD",8.116,0.012,0.472,"t/ha","351237_84"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",351237,84,"TILHI/PASTOR",144,"GRAIN_YIELD",6.967,0.184,0.679,"t/ha","351237_84"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",360037,64,"CHEN/AE.SQ//WEAVER/3/SSERI1",144,"GRAIN_YIELD",7.976,0.012,0.472,"t/ha","360037_64"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",360037,64,"CHEN/AE.SQ//WEAVER/3/SSERI1",144,"GRAIN_YIELD",8.717,0.184,0.679,"t/ha","360037_64"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",360038,165,"CHEN/AE.SQ//WEAVER/3/PASTOR",144,"GRAIN_YIELD",8.061,0.012,0.472,"t/ha","360038_165"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",360038,165,"CHEN/AE.SQ//WEAVER/3/PASTOR",144,"GRAIN_YIELD",7.67,0.184,0.679,"t/ha","360038_165"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361565,125,"OASIS/SKAUZ//4*BCN*2/3/PASTOR",144,"GRAIN_YIELD",7.987,0.012,0.472,"t/ha","361565_125"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361565,125,"OASIS/SKAUZ//4*BCN*2/3/PASTOR",144,"GRAIN_YIELD",8.209,0.184,0.679,"t/ha","361565_125"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",361567,137,"OASIS/SKAUZ//4*BCN/3/PASTOR/4/KAUZ*2/YACO//KAUZ",144,"GRAIN_YIELD",8.031,0.136,0.369,"t/ha","361567_137"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",361567,137,"OASIS/SKAUZ//4*BCN/3/PASTOR/4/KAUZ*2/YACO//KAUZ",144,"GRAIN_YIELD",9.312,0.195,0.442,"t/ha","361567_137"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",11,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",361573,207,"NAC/TH.AC//3*PVN/3/MIRLO/BUC/4/2*PASTOR",144,"GRAIN_YIELD",6.871,0.057,0.239,"t/ha","361573_207"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",361573,207,"NAC/TH.AC//3*PVN/3/MIRLO/BUC/4/2*PASTOR",144,"GRAIN_YIELD",7.369,0.036,0.499,"t/ha","361573_207"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361573,211,"NAC/TH.AC//3*PVN/3/MIRLO/BUC/4/2*PASTOR",144,"GRAIN_YIELD",7.823,0.012,0.472,"t/ha","361573_211"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361573,211,"NAC/TH.AC//3*PVN/3/MIRLO/BUC/4/2*PASTOR",144,"GRAIN_YIELD",6.667,0.184,0.679,"t/ha","361573_211"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361573,251,"NAC/TH.AC//3*PVN/3/MIRLO/BUC/4/2*PASTOR",144,"GRAIN_YIELD",7.702,0.012,0.472,"t/ha","361573_251"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361573,251,"NAC/TH.AC//3*PVN/3/MIRLO/BUC/4/2*PASTOR",144,"GRAIN_YIELD",7.779,0.184,0.679,"t/ha","361573_251"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361573,252,"NAC/TH.AC//3*PVN/3/MIRLO/BUC/4/2*PASTOR",144,"GRAIN_YIELD",8.098,0.012,0.472,"t/ha","361573_252"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361573,252,"NAC/TH.AC//3*PVN/3/MIRLO/BUC/4/2*PASTOR",144,"GRAIN_YIELD",7.009,0.184,0.679,"t/ha","361573_252"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361620,230,"WH 542/2*PASTOR",144,"GRAIN_YIELD",7.8,0.012,0.472,"t/ha","361620_230"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361620,230,"WH 542/2*PASTOR",144,"GRAIN_YIELD",7.281,0.184,0.679,"t/ha","361620_230"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361684,199,"BACEU",144,"GRAIN_YIELD",8.552,0.012,0.472,"t/ha","361684_199"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361684,199,"BACEU",144,"GRAIN_YIELD",7.367,0.184,0.679,"t/ha","361684_199"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",361684,201,"BACEU #1",144,"GRAIN_YIELD",9.029,0.136,0.369,"t/ha","361684_201"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",361684,201,"BACEU #1",144,"GRAIN_YIELD",9.467,0.195,0.442,"t/ha","361684_201"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",361746,115,"IRENA/2*PASTOR",144,"GRAIN_YIELD",9.136,0.136,0.369,"t/ha","361746_115"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",361746,115,"IRENA/2*PASTOR",144,"GRAIN_YIELD",9.339,0.195,0.442,"t/ha","361746_115"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361845,245,"MILAN/OTUS//ATTILA/3*BCN",144,"GRAIN_YIELD",7.761,0.012,0.472,"t/ha","361845_245"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361845,245,"MILAN/OTUS//ATTILA/3*BCN",144,"GRAIN_YIELD",7.612,0.184,0.679,"t/ha","361845_245"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361941,177,"NL623//ATTILA/3*BCN/3/PASTOR",144,"GRAIN_YIELD",7.718,0.012,0.472,"t/ha","361941_177"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361941,177,"NL623//ATTILA/3*BCN/3/PASTOR",144,"GRAIN_YIELD",6.717,0.184,0.679,"t/ha","361941_177"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361995,218,"SW90.1057/3/KAUZ*2/YACO//KAUZ/4/SW91-12331",144,"GRAIN_YIELD",7.785,0.012,0.472,"t/ha","361995_218"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",361995,218,"SW90.1057/3/KAUZ*2/YACO//KAUZ/4/SW91-12331",144,"GRAIN_YIELD",7.133,0.184,0.679,"t/ha","361995_218"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",362247,134,"PI 610750/3/2*KAUZ*2/YACO//KAUZ",144,"GRAIN_YIELD",7.932,0.012,0.472,"t/ha","362247_134"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",362247,134,"PI 610750/3/2*KAUZ*2/YACO//KAUZ",144,"GRAIN_YIELD",6.595,0.184,0.679,"t/ha","362247_134"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",367671,247,"PRINIA/PASTOR",144,"GRAIN_YIELD",8.009,0.136,0.369,"t/ha","367671_247"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",367671,247,"PRINIA/PASTOR",144,"GRAIN_YIELD",9.098,0.195,0.442,"t/ha","367671_247"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",373108,204,"CROC_1/AE.SQUARROSA (205)//BORL95/3/MILAN/4/IRENA/WEAVER",144,"GRAIN_YIELD",8.184,0.012,0.472,"t/ha","373108_204"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",373108,204,"CROC_1/AE.SQUARROSA (205)//BORL95/3/MILAN/4/IRENA/WEAVER",144,"GRAIN_YIELD",6.507,0.184,0.679,"t/ha","373108_204"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",11,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",388168,123,"MILAN/ARA90//TNMU/TUI",144,"GRAIN_YIELD",6.521,0.057,0.239,"t/ha","388168_123"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",388168,123,"MILAN/ARA90//TNMU/TUI",144,"GRAIN_YIELD",6.293,0.036,0.499,"t/ha","388168_123"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",392340,98,"INQALAB 91*2/KUKUNA",144,"GRAIN_YIELD",8.235,0.136,0.369,"t/ha","392340_98"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",392340,98,"INQALAB 91*2/KUKUNA",144,"GRAIN_YIELD",8.694,0.195,0.442,"t/ha","392340_98"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",392341,157,"INQALAB 91*2/TUKURU",144,"GRAIN_YIELD",8.241,0.136,0.369,"t/ha","392341_157"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",392341,157,"INQALAB 91*2/TUKURU",144,"GRAIN_YIELD",9.037,0.195,0.442,"t/ha","392341_157"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",11,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",392341,161,"INQALAB 91*2/TUKURU",144,"GRAIN_YIELD",6.099,0.057,0.239,"t/ha","392341_161"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",392341,161,"INQALAB 91*2/TUKURU",144,"GRAIN_YIELD",6.412,0.036,0.499,"t/ha","392341_161"
"30TH ELITE SPRING WHEAT YT",30,"eswyt.30",29,42138,"MEXICO","CIANO - FULL IRRIGATION","2009",393600,92,"CROSBILL #1",144,"GRAIN_YIELD",7.099,0.061,0.488,"t/ha","393600_92"
"30TH ELITE SPRING WHEAT YT",30,"eswyt.30",32,42138,"MEXICO","CIANO - FULL IRRIGATION","2009",393600,92,"CROSBILL #1",144,"GRAIN_YIELD",7.29,0.209,0.457,"t/ha","393600_92"
"30TH ELITE SPRING WHEAT YT",30,"eswyt.30",33,42138,"MEXICO","CIANO - FULL IRRIGATION","2009",393600,92,"CROSBILL #1",144,"GRAIN_YIELD",6.119,0.169,0.411,"t/ha","393600_92"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",394773,1358,"BAV92//IRENA/KAUZ/3/HUITES",144,"GRAIN_YIELD",8.473,0.136,0.369,"t/ha","394773_1358"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",394773,1358,"BAV92//IRENA/KAUZ/3/HUITES",144,"GRAIN_YIELD",9.318,0.195,0.442,"t/ha","394773_1358"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",414815,50,"OASIS/SKAUZ//4*BCN/3/2*PASTOR",144,"GRAIN_YIELD",9.107,0.136,0.369,"t/ha","414815_50"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",414815,50,"OASIS/SKAUZ//4*BCN/3/2*PASTOR",144,"GRAIN_YIELD",9.63,0.195,0.442,"t/ha","414815_50"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",11,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",414815,55,"MISR 1",144,"GRAIN_YIELD",7.029,0.057,0.239,"t/ha","414815_55"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",414815,55,"MISR 1",144,"GRAIN_YIELD",6.596,0.036,0.499,"t/ha","414815_55"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",414855,31,"DVERD_2/AE.SQUARROSA (221)/3/URES/BOW//OPATA/4/TILHI",144,"GRAIN_YIELD",7.681,0.136,0.369,"t/ha","414855_31"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",414855,31,"DVERD_2/AE.SQUARROSA (221)/3/URES/BOW//OPATA/4/TILHI",144,"GRAIN_YIELD",8.494,0.195,0.442,"t/ha","414855_31"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",417450,1,"HD2687",144,"GRAIN_YIELD",7.875,0.012,0.472,"t/ha","417450_1"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",417450,1,"HD2687",144,"GRAIN_YIELD",7.016,0.184,0.679,"t/ha","417450_1"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",417450,1,"HD2687",144,"GRAIN_YIELD",8.393,0.136,0.369,"t/ha","417450_1"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",417450,1,"HD2687",144,"GRAIN_YIELD",8.912,0.195,0.442,"t/ha","417450_1"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",420669,10,"FRET2/WBLL1//TACUPETO F2001",144,"GRAIN_YIELD",8.243,0.136,0.369,"t/ha","420669_10"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",420669,10,"FRET2/WBLL1//TACUPETO F2001",144,"GRAIN_YIELD",8.392,0.195,0.442,"t/ha","420669_10"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",420676,32,"WBLL1/TACUPETO F2001//PASTOR",144,"GRAIN_YIELD",8.013,0.012,0.472,"t/ha","420676_32"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",420676,32,"WBLL1/TACUPETO F2001//PASTOR",144,"GRAIN_YIELD",8.301,0.184,0.679,"t/ha","420676_32"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",420682,15,"TACUPETO F2001/MNNK1//WBLL1",144,"GRAIN_YIELD",8.674,0.136,0.369,"t/ha","420682_15"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",420682,15,"TACUPETO F2001/MNNK1//WBLL1",144,"GRAIN_YIELD",8.814,0.195,0.442,"t/ha","420682_15"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",420687,38,"FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ",144,"GRAIN_YIELD",8.571,0.136,0.369,"t/ha","420687_38"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",420687,38,"FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ",144,"GRAIN_YIELD",9.955,0.195,0.442,"t/ha","420687_38"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",420692,44,"FRET2/TUKURU//FRET2",144,"GRAIN_YIELD",8.757,0.136,0.369,"t/ha","420692_44"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",420692,44,"FRET2/TUKURU//FRET2",144,"GRAIN_YIELD",9.875,0.195,0.442,"t/ha","420692_44"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",420692,45,"FRET2/TUKURU//FRET2",144,"GRAIN_YIELD",8.672,0.136,0.369,"t/ha","420692_45"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",420692,45,"FRET2/TUKURU//FRET2",144,"GRAIN_YIELD",10.096,0.195,0.442,"t/ha","420692_45"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",420692,47,"FRET2/TUKURU//FRET2",144,"GRAIN_YIELD",8.723,0.136,0.369,"t/ha","420692_47"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",420692,47,"FRET2/TUKURU//FRET2",144,"GRAIN_YIELD",9.584,0.195,0.442,"t/ha","420692_47"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",11,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",420692,59,"FRET2/TUKURU//FRET2",144,"GRAIN_YIELD",7.63,0.057,0.239,"t/ha","420692_59"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",420692,59,"FRET2/TUKURU//FRET2",144,"GRAIN_YIELD",6.404,0.036,0.499,"t/ha","420692_59"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",420694,25,"WBLL1*2/KUKUNA",144,"GRAIN_YIELD",8.029,0.012,0.472,"t/ha","420694_25"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",420694,25,"WBLL1*2/KUKUNA",144,"GRAIN_YIELD",7.856,0.184,0.679,"t/ha","420694_25"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",420703,30,"ROELFS F2007",144,"GRAIN_YIELD",8.56,0.012,0.472,"t/ha","420703_30"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",420703,30,"ROELFS F2007",144,"GRAIN_YIELD",8.615,0.184,0.679,"t/ha","420703_30"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",11,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",420703,30,"ROELFS F2007",144,"GRAIN_YIELD",7.652,0.057,0.239,"t/ha","420703_30"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",420703,30,"ROELFS F2007",144,"GRAIN_YIELD",6.198,0.036,0.499,"t/ha","420703_30"
"32ND ELITE SPRING WHEAT YT",32,"eswyt.32",40,42141,"MEXICO","CIANO-FLAT-5IR","2011",420703,30,"ROELFS F2007",144,"GRAIN_YIELD",6.463,0.041,0.351,"t/ha","420703_30"
"32ND ELITE SPRING WHEAT YT",32,"eswyt.32",41,42141,"MEXICO","CIANO-FLAT-5IR","2011",420703,30,"ROELFS F2007",144,"GRAIN_YIELD",3.94,0.103,0.32,"t/ha","420703_30"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",420707,34,"WBLL1*2/TUKURU",144,"GRAIN_YIELD",8.244,0.012,0.472,"t/ha","420707_34"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",420707,34,"WBLL1*2/TUKURU",144,"GRAIN_YIELD",8.14,0.184,0.679,"t/ha","420707_34"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",425470,1,"PBW450",144,"GRAIN_YIELD",7.908,0.012,0.472,"t/ha","425470_1"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",425470,1,"PBW450",144,"GRAIN_YIELD",7.132,0.184,0.679,"t/ha","425470_1"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",425470,1,"PBW450",144,"GRAIN_YIELD",8.169,0.136,0.369,"t/ha","425470_1"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",425470,1,"PBW450",144,"GRAIN_YIELD",8.813,0.195,0.442,"t/ha","425470_1"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",427077,13,"WBLL1/3/STAR//KAUZ/STAR/4/BAV92/RAYON",144,"GRAIN_YIELD",8.922,0.136,0.369,"t/ha","427077_13"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",427077,13,"WBLL1/3/STAR//KAUZ/STAR/4/BAV92/RAYON",144,"GRAIN_YIELD",9.418,0.195,0.442,"t/ha","427077_13"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",427147,22,"ALTAR 84/AE.SQUARROSA (221)//3*BORL95/3/URES/JUN//KAUZ/4/WBLL1",144,"GRAIN_YIELD",8.312,0.136,0.369,"t/ha","427147_22"
